record_type,time,type,peer_address,prefix,next-hop,communities,as-path,filename,title
rib,1410292820.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
update,1410292984.0,A,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
update,1410293010.0,A,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
update,1410293035.0,A,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
update,1410293096.0,A,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
update,1410293101.0,A,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-09 19:45:00_2014-09-09 20:45:00.csv,sprint_1
rib,1410300000.0,R,202.79.197.159,95.128.184.0/22,202.79.197.159,"{'24482:6939', '24482:13', '24482:10', '24482:5'}",24482 6939 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300000.0,R,202.79.197.201,95.128.184.0/22,202.79.197.201,"{'3491:3001', '3491:3000', '3491:1239'}",133165 3491 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.10,95.128.184.0/22,206.126.236.10,"{'3257:51101', '4589:556', '3257:51100', '3257:30178', '4589:420', '4589:61', '4589:10103', '3257:8066', '3257:50002', '4589:2'}",4589 3257 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.154,95.128.184.0/22,206.126.236.154,set(),13618 3356 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.47,95.128.184.0/22,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.12,95.128.184.0/22,206.126.236.12,"{'2914:3200', '2914:1208', '2914:2208', '2914:410'}",2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.120,95.128.184.0/22,206.126.236.120,set(),41095 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.25,95.128.184.0/22,206.126.236.25,set(),6079 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.76,95.128.184.0/22,206.126.236.76,set(),5769 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.37,95.128.184.0/22,206.126.236.37,set(),6939 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410300021.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
update,1410300224.0,A,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
update,1410300231.0,A,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
update,1410300284.0,A,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
update,1410300292.0,A,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
update,1410300342.0,A,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-09 21:45:00_2014-09-09 22:45:00.csv,sprint_1
rib,1410278400.0,R,202.79.197.159,95.128.184.0/22,202.79.197.159,"{'24482:6939', '24482:13', '24482:10', '24482:5'}",24482 6939 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278400.0,R,202.79.197.201,95.128.184.0/22,202.79.197.201,"{'3491:3001', '3491:3000', '3491:1239'}",133165 3491 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.10,95.128.184.0/22,206.126.236.10,"{'3257:51101', '4589:556', '3257:51100', '3257:30178', '4589:420', '4589:61', '4589:10103', '3257:8066', '3257:50002', '4589:2'}",4589 3257 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.154,95.128.184.0/22,206.126.236.154,set(),13618 3356 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.47,95.128.184.0/22,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.12,95.128.184.0/22,206.126.236.12,"{'2914:3200', '2914:1208', '2914:2208', '2914:410'}",2914 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.120,95.128.184.0/22,206.126.236.120,set(),41095 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.25,95.128.184.0/22,206.126.236.25,set(),6079 2914 5603 34547,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.76,95.128.184.0/22,206.126.236.76,set(),5769 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.37,95.128.184.0/22,206.126.236.37,set(),6939 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410278420.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-09 15:45:00_2014-09-09 16:45:00.csv,sprint_1
rib,1410343201.0,R,202.79.197.159,95.128.184.0/22,202.79.197.159,"{'24482:6939', '24482:13', '24482:10', '24482:5'}",24482 6939 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343201.0,R,202.79.197.201,95.128.184.0/22,202.79.197.201,"{'3491:3001', '3491:3000', '3491:1239'}",133165 3491 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.10,95.128.184.0/22,206.126.236.10,"{'3257:51101', '4589:556', '3257:51100', '3257:30178', '4589:420', '4589:61', '4589:10103', '3257:8066', '3257:50002', '4589:2'}",4589 3257 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.154,95.128.184.0/22,206.126.236.154,set(),13618 3356 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.47,95.128.184.0/22,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.12,95.128.184.0/22,206.126.236.12,"{'2914:3200', '2914:1208', '2914:2208', '2914:410'}",2914 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.120,95.128.184.0/22,206.126.236.120,set(),41095 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.25,95.128.184.0/22,206.126.236.25,set(),6079 2914 5603 34547,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.76,95.128.184.0/22,206.126.236.76,set(),5769 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.37,95.128.184.0/22,206.126.236.37,set(),6939 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
rib,1410343219.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-10 09:45:00_2014-09-10 10:45:00.csv,sprint_1
update,1410333816.0,A,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 06:45:00_2014-09-10 07:45:00.csv,sprint_1
update,1410334048.0,A,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 06:45:00_2014-09-10 07:45:00.csv,sprint_1
rib,1410314400.0,R,202.79.197.159,95.128.184.0/22,202.79.197.159,"{'24482:6939', '24482:13', '24482:10', '24482:5'}",24482 6939 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314400.0,R,202.79.197.201,95.128.184.0/22,202.79.197.201,"{'3491:3001', '3491:3000', '3491:1239'}",133165 3491 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.10,95.128.184.0/22,206.126.236.10,"{'3257:51101', '4589:556', '3257:51100', '3257:30178', '4589:420', '4589:61', '4589:10103', '3257:8066', '3257:50002', '4589:2'}",4589 3257 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.154,95.128.184.0/22,206.126.236.154,set(),13618 3356 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.47,95.128.184.0/22,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.12,95.128.184.0/22,206.126.236.12,"{'2914:3200', '2914:1208', '2914:2208', '2914:410'}",2914 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.120,95.128.184.0/22,206.126.236.120,set(),41095 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.25,95.128.184.0/22,206.126.236.25,set(),6079 2914 5603 34547,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.76,95.128.184.0/22,206.126.236.76,set(),5769 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.37,95.128.184.0/22,206.126.236.37,set(),6939 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410314420.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-10 01:45:00_2014-09-10 02:45:00.csv,sprint_1
rib,1410285600.0,R,202.79.197.159,95.128.184.0/22,202.79.197.159,"{'24482:6939', '24482:13', '24482:10', '24482:5'}",24482 6939 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285600.0,R,202.79.197.201,95.128.184.0/22,202.79.197.201,"{'3491:3001', '3491:3000', '3491:1239'}",133165 3491 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.19,95.128.184.0/22,206.126.236.19,"{'3257:51102', '3257:30337', '3257:51100', '3257:8093', '3257:50002'}",3257 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.60,95.128.184.0/22,206.126.236.60,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.172,95.128.184.0/22,206.126.236.172,{'6461:5997'},11039 6461 2914 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.24,95.128.184.0/22,206.126.236.24,"{'3257:30288', '3257:8096', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.61,95.128.184.0/22,206.126.236.61,"{'2914:410', '2914:3200', '2914:2208', '4436:999', '4436:8116', '2914:1208', '4436:31611'}",4436 2914 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.10,95.128.184.0/22,206.126.236.10,"{'3257:51101', '4589:556', '3257:51100', '3257:30178', '4589:420', '4589:61', '4589:10103', '3257:8066', '3257:50002', '4589:2'}",4589 3257 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.154,95.128.184.0/22,206.126.236.154,set(),13618 3356 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.47,95.128.184.0/22,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.12,95.128.184.0/22,206.126.236.12,"{'2914:3200', '2914:1208', '2914:2208', '2914:410'}",2914 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.120,95.128.184.0/22,206.126.236.120,set(),41095 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.25,95.128.184.0/22,206.126.236.25,set(),6079 2914 5603 34547,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.76,95.128.184.0/22,206.126.236.76,set(),5769 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.37,95.128.184.0/22,206.126.236.37,set(),6939 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
rib,1410285619.0,R,206.126.236.26,95.128.184.0/22,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 1239,sprint_1_2014-09-09 17:45:00_2014-09-09 18:45:00.csv,sprint_1
