record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1460872801.0,R,27.111.228.201,161.123.128.0/17,27.111.228.201,"{'4637:32026', '4637:32312', '4637:60952', '4637:32502'}",133165 4637 3320 12586
rib,1460872801.0,R,27.111.228.159,161.123.128.0/17,27.111.228.159,"{'24482:2', '12586:102', '31025:2000', '24482:65203', '24482:12010', '24482:12011'}",24482 31025 12586
rib,1460872801.0,R,27.111.228.169,161.123.128.0/17,27.111.228.169,set(),38880 31025 12586
rib,1460872801.0,R,27.111.228.201,161.123.131.0/24,27.111.228.201,"{'2914:1003', '2914:2000', '2914:410', '2914:3000'}",133165 2914 23352 61440
rib,1460872801.0,R,27.111.228.159,161.123.131.0/24,27.111.228.159,"{'24482:64601', '6453:3000', '24482:1', '24482:91', '24482:11013', '24482:21101', '24482:21100', '6453:86', '24482:11010', '6453:3400', '6453:3402'}",24482 6453 2914 23352 61440
rib,1460872801.0,R,27.111.228.169,161.123.131.0/24,27.111.228.169,set(),38880 3491 2914 23352 61440
rib,1460872801.0,R,27.111.228.201,161.123.137.0/24,27.111.228.201,"{'2914:1003', '2914:2000', '2914:410', '2914:3000'}",133165 2914 23352 61440
rib,1460872801.0,R,27.111.228.159,161.123.137.0/24,27.111.228.159,"{'24482:64601', '6453:3000', '24482:1', '24482:91', '24482:11013', '24482:21101', '24482:21100', '6453:86', '24482:11010', '6453:3400', '6453:3402'}",24482 6453 2914 23352 61440
rib,1460872801.0,R,27.111.228.169,161.123.137.0/24,27.111.228.169,set(),38880 3491 2914 23352 61440
rib,1460872801.0,R,27.111.228.201,161.123.141.0/24,27.111.228.201,"{'2914:1003', '2914:2000', '2914:410', '2914:3000'}",133165 2914 23352 61440
rib,1460872801.0,R,27.111.228.159,161.123.141.0/24,27.111.228.159,"{'24482:64601', '6453:3000', '24482:1', '24482:91', '24482:11013', '24482:21101', '24482:21100', '6453:86', '24482:11010', '6453:3400', '6453:3402'}",24482 6453 2914 23352 61440
rib,1460872801.0,R,27.111.228.169,161.123.141.0/24,27.111.228.169,set(),38880 3491 2914 23352 61440
rib,1460872801.0,R,27.111.228.201,161.123.143.0/24,27.111.228.201,"{'2914:1003', '2914:2000', '2914:410', '2914:3000'}",133165 2914 23352 61440
rib,1460872801.0,R,27.111.228.159,161.123.143.0/24,27.111.228.159,"{'24482:64601', '6453:3000', '24482:1', '24482:91', '24482:11013', '24482:21101', '24482:21100', '6453:86', '24482:11010', '6453:3400', '6453:3402'}",24482 6453 2914 23352 61440
